Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
238,WHOSIS_000007,COUNTRY,GNB,AFR,Africa,YEAR,2003,SEX,SEX_MLE,,,,,,,9.3 [8.8-9.8],9.34859,8.8338,9.8079,,2024-08-02T10:13:49Z,2003,2003-01-01,2003-12-31
297,WHOSIS_000007,COUNTRY,EST,EUR,Europe,YEAR,2001,SEX,SEX_BTSX,,,,,,,14.2 [13.7-14.8],14.18671,13.69627,14.7537,,2024-08-02T10:13:49Z,2001,2001-01-01,2001-12-31
366,WHOSIS_000007,COUNTRY,COL,AMR,Americas,YEAR,2019,SEX,SEX_BTSX,,,,,,,17.4 [16.8-18.1],17.41457,16.84014,18.05832,,2024-08-02T10:13:49Z,2019,2019-01-01,2019-12-31
1147,WHOSIS_000007,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2000,SEX,SEX_MLE,,,,,,,13.1 [12.4-14.0],13.1034,12.37482,13.95171,,2024-08-02T10:13:49Z,2000,2000-01-01,2000-12-31
1170,WHOSIS_000007,COUNTRY,SSD,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,11.5 [10.8-12.3],11.46703,10.75253,12.27388,,2024-08-02T10:13:49Z,2019,2019-01-01,2019-12-31
1351,WHOSIS_000007,COUNTRY,TGO,AFR,Africa,YEAR,2001,SEX,SEX_BTSX,,,,,,,11.7 [11.1-12.2],11.6649,11.09509,12.18375,,2024-08-02T10:13:49Z,2001,2001-01-01,2001-12-31
1584,WHOSIS_000007,COUNTRY,MDA,EUR,Europe,YEAR,2015,SEX,SEX_BTSX,,,,,,,13.6 [13.1-14.0],13.59959,13.10725,13.9884,,2024-08-02T10:13:49Z,2015,2015-01-01,2015-12-31
1938,WHOSIS_000007,COUNTRY,HRV,EUR,Europe,YEAR,2019,SEX,SEX_BTSX,,,,,,,16.3 [15.8-17.0],16.33856,15.77411,16.96572,,2024-08-02T10:13:49Z,2019,2019-01-01,2019-12-31
3551,WHOSIS_000007,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2016,SEX,SEX_MLE,,,,,,,17.4 [16.7-18.2],17.39904,16.71973,18.20436,,2024-08-02T10:13:49Z,2016,2016-01-01,2016-12-31
3605,WHOSIS_000007,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2014,SEX,SEX_BTSX,,,,,,,13.8 [13.1-14.6],13.82307,13.06524,14.64101,,2024-08-02T10:13:49Z,2014,2014-01-01,2014-12-31
4186,WHOSIS_000007,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2009,SEX,SEX_MLE,,,,,,,14.9 [14.4-15.4],14.92618,14.42384,15.4256,,2024-08-02T10:13:49Z,2009,2009-01-01,2009-12-31
4651,WHOSIS_000007,COUNTRY,CRI,AMR,Americas,YEAR,2001,SEX,SEX_BTSX,,,,,,,17.1 [16.5-17.7],17.09812,16.47851,17.67307,,2024-08-02T10:13:49Z,2001,2001-01-01,2001-12-31
4733,WHOSIS_000007,COUNTRY,SWE,EUR,Europe,YEAR,2010,SEX,SEX_FMLE,,,,,,,18.9 [18.2-19.6],18.85074,18.22074,19.59285,,2024-08-02T10:13:49Z,2010,2010-01-01,2010-12-31
5154,WHOSIS_000007,COUNTRY,BLZ,AMR,Americas,YEAR,2017,SEX,SEX_BTSX,,,,,,,16.7 [16.2-17.3],16.72045,16.16976,17.33662,,2024-08-02T10:13:49Z,2017,2017-01-01,2017-12-31
5662,WHOSIS_000007,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2005,SEX,SEX_FMLE,,,,,,,11.7 [11.2-12.2],11.676,11.20555,12.18884,,2024-08-02T10:13:49Z,2005,2005-01-01,2005-12-31
5875,WHOSIS_000007,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2011,SEX,SEX_BTSX,,,,,,,13.8 [13.3-14.4],13.80846,13.268370000000001,14.38304,,2024-08-02T10:13:49Z,2011,2011-01-01,2011-12-31
7646,WHOSIS_000007,REGION,EUR,,,YEAR,2014,SEX,SEX_FMLE,,,,,,,17.7 [17.2-18.4],17.65599,17.17631,18.40777,,2024-08-02T10:13:49Z,2014,2014-01-01,2014-12-31
7929,WHOSIS_000007,COUNTRY,KHM,WPR,Western Pacific,YEAR,2005,SEX,SEX_FMLE,,,,,,,13.0 [12.5-13.5],12.98578,12.51134,13.52874,,2024-08-02T10:13:49Z,2005,2005-01-01,2005-12-31
8011,WHOSIS_000007,COUNTRY,CRI,AMR,Americas,YEAR,2007,SEX,SEX_BTSX,,,,,,,18.2 [17.6-19.0],18.23112,17.64747,19.01105,,2024-08-02T10:13:49Z,2007,2007-01-01,2007-12-31
8033,WHOSIS_000007,COUNTRY,MNE,EUR,Europe,YEAR,2007,SEX,SEX_FMLE,,,,,,,15.5 [15.0-16.0],15.52505,14.96213,16.03659,,2024-08-02T10:13:49Z,2007,2007-01-01,2007-12-31
9173,WHOSIS_000007,WORLDBANKINCOMEGROUP,WB_HI,,,YEAR,2010,SEX,SEX_MLE,,,,,,,16.4 [15.9-17.1],16.4365,15.94285,17.06872,,2024-08-02T10:13:49Z,2010,2010-01-01,2010-12-31
9393,WHOSIS_000007,COUNTRY,LUX,EUR,Europe,YEAR,2016,SEX,SEX_BTSX,,,,,,,18.7 [18.1-19.3],18.73374,18.07745,19.31821,,2024-08-02T10:13:49Z,2016,2016-01-01,2016-12-31
9758,WHOSIS_000007,COUNTRY,PHL,WPR,Western Pacific,YEAR,2012,SEX,SEX_FMLE,,,,,,,15.1 [14.5-15.7],15.10775,14.49228,15.67374,,2024-08-02T10:13:49Z,2012,2012-01-01,2012-12-31
12091,WHOSIS_000007,COUNTRY,SWZ,AFR,Africa,YEAR,2008,SEX,SEX_FMLE,,,,,,,10.2 [9.5-11.0],10.24617,9.54494,11.02273,,2024-08-02T10:13:49Z,2008,2008-01-01,2008-12-31
12885,WHOSIS_000007,COUNTRY,NZL,WPR,Western Pacific,YEAR,2004,SEX,SEX_BTSX,,,,,,,17.1 [16.5-17.7],17.11736,16.51868,17.72341,,2024-08-02T10:13:49Z,2004,2004-01-01,2004-12-31
13289,WHOSIS_000007,COUNTRY,COD,AFR,Africa,YEAR,2007,SEX,SEX_FMLE,,,,,,,11.7 [11.1-12.3],11.6765,11.1488,12.31505,,2024-08-02T10:13:49Z,2007,2007-01-01,2007-12-31
13679,WHOSIS_000007,COUNTRY,COL,AMR,Americas,YEAR,2017,SEX,SEX_FMLE,,,,,,,18.2 [17.7-18.9],18.20972,17.66828,18.88749,,2024-08-02T10:13:49Z,2017,2017-01-01,2017-12-31
14946,WHOSIS_000007,COUNTRY,RUS,EUR,Europe,YEAR,2003,SEX,SEX_FMLE,,,,,,,13.8 [13.4-14.4],13.80371,13.35488,14.43907,,2024-08-02T10:13:49Z,2003,2003-01-01,2003-12-31
16717,WHOSIS_000007,COUNTRY,COG,AFR,Africa,YEAR,2007,SEX,SEX_MLE,,,,,,,11.0 [10.4-11.5],10.98808,10.43346,11.503,,2024-08-02T10:13:49Z,2007,2007-01-01,2007-12-31
16752,WHOSIS_000007,COUNTRY,CZE,EUR,Europe,YEAR,2011,SEX,SEX_MLE,,,,,,,14.1 [13.5-14.7],14.12409,13.53497,14.67346,,2024-08-02T10:13:49Z,2011,2011-01-01,2011-12-31
17175,WHOSIS_000007,COUNTRY,UZB,EUR,Europe,YEAR,2015,SEX,SEX_BTSX,,,,,,,12.5 [12.1-13.0],12.52662,12.06696,12.99484,,2024-08-02T10:13:49Z,2015,2015-01-01,2015-12-31
17453,WHOSIS_000007,COUNTRY,COM,AFR,Africa,YEAR,2006,SEX,SEX_MLE,,,,,,,13.1 [12.6-13.7],13.13292,12.64189,13.69531,,2024-08-02T10:13:49Z,2006,2006-01-01,2006-12-31
17954,WHOSIS_000007,COUNTRY,TON,WPR,Western Pacific,YEAR,2006,SEX,SEX_BTSX,,,,,,,14.3 [13.7-14.9],14.28672,13.65157,14.89246,,2024-08-02T10:13:49Z,2006,2006-01-01,2006-12-31
18101,WHOSIS_000007,COUNTRY,ERI,AFR,Africa,YEAR,2016,SEX,SEX_MLE,,,,,,,10.5 [9.8-11.1],10.45312,9.84485,11.06314,,2024-08-02T10:13:49Z,2016,2016-01-01,2016-12-31
