Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
261,WHOSIS_000002,COUNTRY,SVK,EUR,Europe,YEAR,2000,SEX,SEX_MLE,,,,,,,61.2 [60.7-61.8],61.17224,60.70429,61.81142,,2024-08-02T10:11:00Z,2000,2000-01-01,2000-12-31
318,WHOSIS_000002,REGION,AFR,,,YEAR,2013,SEX,SEX_MLE,,,,,,,52.8 [52.1-53.7],52.80961,52.12597,53.66439,,2024-08-02T10:11:00Z,2013,2013-01-01,2013-12-31
660,WHOSIS_000002,COUNTRY,FRA,EUR,Europe,YEAR,2021,SEX,SEX_FMLE,,,,,,,71.0 [70.1-72.0],70.98478,70.06015,71.9616,,2024-08-02T10:11:00Z,2021,2021-01-01,2021-12-31
1399,WHOSIS_000002,COUNTRY,ECU,AMR,Americas,YEAR,2015,SEX,SEX_MLE,,,,,,,65.9 [65.3-66.7],65.86762,65.31858,66.66771,,2024-08-02T10:11:00Z,2015,2015-01-01,2015-12-31
3410,WHOSIS_000002,COUNTRY,MDA,EUR,Europe,YEAR,2009,SEX,SEX_FMLE,,,,,,,63.0 [62.5-63.6],63.0482,62.45151,63.64643,,2024-08-02T10:11:00Z,2009,2009-01-01,2009-12-31
3682,WHOSIS_000002,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2005,SEX,SEX_BTSX,,,,,,,59.0 [58.1-60.0],59.00026,58.14296,59.95318,,2024-08-02T10:11:00Z,2005,2005-01-01,2005-12-31
3947,WHOSIS_000002,COUNTRY,KEN,AFR,Africa,YEAR,2018,SEX,SEX_BTSX,,,,,,,57.9 [57.1-58.7],57.88585,57.10911,58.74801,,2024-08-02T10:11:00Z,2018,2018-01-01,2018-12-31
4092,WHOSIS_000002,COUNTRY,DNK,EUR,Europe,YEAR,2000,SEX,SEX_FMLE,,,,,,,67.4 [66.8-68.2],67.42067,66.78135,68.19755,,2024-08-02T10:11:00Z,2000,2000-01-01,2000-12-31
4101,WHOSIS_000002,COUNTRY,SRB,EUR,Europe,YEAR,2006,SEX,SEX_MLE,,,,,,,62.8 [62.3-63.4],62.84787,62.33477,63.43937,,2024-08-02T10:11:00Z,2006,2006-01-01,2006-12-31
5657,WHOSIS_000002,COUNTRY,CHL,AMR,Americas,YEAR,2007,SEX,SEX_BTSX,,,,,,,67.5 [66.7-68.3],67.46125,66.69865,68.32965,,2024-08-02T10:11:00Z,2007,2007-01-01,2007-12-31
7283,WHOSIS_000002,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2009,SEX,SEX_MLE,,,,,,,65.9 [65.2-66.6],65.89515,65.15212,66.59751,,2024-08-02T10:11:00Z,2009,2009-01-01,2009-12-31
7649,WHOSIS_000002,COUNTRY,CAF,AFR,Africa,YEAR,2021,SEX,SEX_MLE,,,,,,,43.8 [42.7-45.0],43.78474,42.7418,44.96745,,2024-08-02T10:11:00Z,2021,2021-01-01,2021-12-31
7924,WHOSIS_000002,COUNTRY,TUR,EUR,Europe,YEAR,2005,SEX,SEX_MLE,,,,,,,64.4 [63.7-65.1],64.36681,63.68453,65.06118,,2024-08-02T10:11:00Z,2005,2005-01-01,2005-12-31
9859,WHOSIS_000002,COUNTRY,UGA,AFR,Africa,YEAR,2008,SEX,SEX_MLE,,,,,,,49.0 [48.3-49.8],49.03613,48.31116,49.79283,,2024-08-02T10:11:00Z,2008,2008-01-01,2008-12-31
9918,WHOSIS_000002,COUNTRY,GMB,AFR,Africa,YEAR,2011,SEX,SEX_BTSX,,,,,,,54.7 [54.0-55.6],54.74406,54.03423,55.56396,,2024-08-02T10:11:00Z,2011,2011-01-01,2011-12-31
12632,WHOSIS_000002,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2018,SEX,SEX_FMLE,,,,,,,63.9 [63.1-64.8],63.88318,63.07352,64.82692,,2024-08-02T10:11:00Z,2018,2018-01-01,2018-12-31
